condition,enrollment_seconds,probe_seconds,system,eer,eer_ci_lower,eer_ci_upper,normalized_min_dcf_p01,normalized_min_dcf_p01_ci_lower,normalized_min_dcf_p01_ci_upper,tar_at_validation_1pct_far,tar_at_validation_1pct_far_ci_lower,tar_at_validation_1pct_far_ci_upper,far_at_validation_1pct_far,far_at_validation_1pct_far_ci_lower,far_at_validation_1pct_far_ci_upper
wake_wake_e300_p60_g30_nested300,300,60,Stacked,0.3618240740740741,0.3407320852433847,0.382751330045965,0.9994488304093567,0.9973091313352828,0.999422514619883,0.057679824561403505,0.04675847953216375,0.06991820175438596,0.009926088369070826,0.0075720662053232,0.01287618848672805
wake_wake_e300_p60_g30_nested300,300,60,BIE,0.3473397498375569,0.32515425523969527,0.3674381908039853,0.9995233918128654,0.9962804960949919,0.9994102903818002,0.07524269005847953,0.0604654970760234,0.09065354532163743,0.011602988953866147,0.008578403654392839,0.015412083845504135
wake_wake_e300_p30_g30_nested300,300,30,Stacked,0.36870995776478227,0.34797342839009865,0.3882951859867994,0.9996198830409357,0.9979978301396912,0.9996900791173121,0.05000730994152047,0.0409766081871345,0.06001469298245613,0.009838044184535412,0.007582012783488942,0.012545893453318245
wake_wake_e300_p30_g30_nested300,300,30,BIE,0.3584565464587394,0.3378023868295851,0.37732985824957554,0.999656432748538,0.9975242032561022,0.9996578947368422,0.0651359649122807,0.052435599415204676,0.0786390716374269,0.011128817413905133,0.008515711445267166,0.014431700018346419
